#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-88A5CED5BCA3904-3C9FB777486405F3
#datatype	hitsConcise Results
#status	0
#Start time	2025-03-03T02:13:49	Run time	0:00:06:12
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >CAL8086862.1 unnamed protein product [Prunus armeniaca]	specific	269851	232	281	9.29401e-25	96.1048	cd14703	bZIP_plant_RF2	 - 	cl21462
Q#1 - >CAL8086862.1 unnamed protein product [Prunus armeniaca]	superfamily	274008	244	320	0.000117954	44.6623	cl37069	SMC_prok_B superfamily	NC	 - 
Q#2 - >CAL8089844.1 unnamed protein product [Prunus armeniaca]	specific	269852	155	197	2.46211e-14	64.903	cd14704	bZIP_HY5-like	 - 	cl21462
Q#3 - >CAL8089847.1 unnamed protein product [Prunus armeniaca]	specific	269852	123	165	1.83262e-13	61.8214	cd14704	bZIP_HY5-like	 - 	cl21462
Q#4 - >CAL8095757.1 unnamed protein product [Prunus armeniaca]	specific	269850	86	137	1.5536e-19	77.9593	cd14702	bZIP_plant_GBF1	 - 	cl21462
Q#5 - >CAL8096394.1 unnamed protein product [Prunus armeniaca]	specific	464092	262	336	6.54005e-38	132.663	pfam14144	DOG1	 - 	cl16653
Q#5 - >CAL8096394.1 unnamed protein product [Prunus armeniaca]	specific	269856	178	230	2.50202e-22	89.6659	cd14708	bZIP_HBP1b-like	 - 	cl21462
Q#6 - >CAL8096397.1 unnamed protein product [Prunus armeniaca]	specific	464092	262	336	5.96746e-39	134.589	pfam14144	DOG1	 - 	cl16653
Q#6 - >CAL8096397.1 unnamed protein product [Prunus armeniaca]	specific	269856	178	230	7.96236e-24	93.5179	cd14708	bZIP_HBP1b-like	 - 	cl21462
Q#7 - >CAL8096403.1 unnamed protein product [Prunus armeniaca]	specific	464092	262	337	1.00329e-38	132.663	pfam14144	DOG1	 - 	cl16653
Q#7 - >CAL8096403.1 unnamed protein product [Prunus armeniaca]	specific	269856	178	230	6.15991e-25	95.8291	cd14708	bZIP_HBP1b-like	 - 	cl21462
Q#8 - >CAL8099262.1 unnamed protein product [Prunus armeniaca]	specific	269851	411	460	4.90929e-22	89.1712	cd14703	bZIP_plant_RF2	 - 	cl21462
Q#8 - >CAL8099262.1 unnamed protein product [Prunus armeniaca]	superfamily	214922	390	507	0.00192871	38.7186	cl33403	OmpH superfamily	C	 - 
Q#9 - >CAL8099500.1 unnamed protein product [Prunus armeniaca]	specific	269850	31	82	2.94485e-18	73.7221	cd14702	bZIP_plant_GBF1	 - 	cl21462
Q#10 - >CAL8101278.1 unnamed protein product [Prunus armeniaca]	specific	269850	114	165	3.9916e-15	66.4034	cd14702	bZIP_plant_GBF1	 - 	cl21462
Q#11 - >CAL8101933.1 unnamed protein product [Prunus armeniaca]	specific	269855	342	396	7.17448e-27	101.621	cd14707	bZIP_plant_BZIP46	 - 	cl21462
Q#12 - >CAL8101936.1 unnamed protein product [Prunus armeniaca]	specific	269855	342	396	1.52637e-27	103.162	cd14707	bZIP_plant_BZIP46	 - 	cl21462
Q#13 - >CAL8101939.1 unnamed protein product [Prunus armeniaca]	specific	269855	342	388	5.12689e-27	102.006	cd14707	bZIP_plant_BZIP46	 - 	cl21462
Q#14 - >CAL8102869.1 unnamed protein product [Prunus armeniaca]	specific	269850	188	239	6.10677e-06	42.9062	cd14702	bZIP_plant_GBF1	 - 	cl21462
Q#14 - >CAL8102869.1 unnamed protein product [Prunus armeniaca]	superfamily	440606	207	273	0.00322988	38.771	cl34052	AcrA superfamily	NC	 - 
Q#15 - >CAL8102872.1 unnamed protein product [Prunus armeniaca]	specific	269850	104	155	3.26233e-06	43.2914	cd14702	bZIP_plant_GBF1	 - 	cl21462
Q#15 - >CAL8102872.1 unnamed protein product [Prunus armeniaca]	superfamily	440606	123	189	0.00504463	37.6154	cl34052	AcrA superfamily	NC	 - 
